time;res_p;res_rho;res_vx;res_vy;res_vz;elapsed_time
0;0;0;0;0;0;0.323845
5e-05;2.17537e-10;2.17537e-18;1.57609e-16;1.86645e-16;0;0.1218
0.0001;8.50299e-10;8.50299e-18;1.48061e-15;1.52022e-15;0;0.118979
0.00015;1.90003e-09;1.90003e-17;5.17738e-15;5.93954e-15;0;0.123233
0.0002;3.34468e-09;3.34468e-17;1.3942e-14;1.37874e-14;0;0.12146
0.00025;5.17964e-09;5.17964e-17;2.93549e-14;2.84985e-14;0;0.119806
0.0003;7.39874e-09;7.39874e-17;5.69093e-14;5.22618e-14;0;0.120586
0.00035;1.0017e-08;1.0017e-16;8.95668e-14;1.01703e-13;0;0.127126
0.0004;1.32075e-08;1.32075e-16;1.43295e-13;1.45532e-13;0;0.120093
0.00045;1.68629e-08;1.68629e-16;2.105e-13;2.10799e-13;0;0.119286
0.0005;2.12525e-08;2.12525e-16;2.97322e-13;3.04661e-13;0;0.123343
0.00055;2.58284e-08;2.58284e-16;4.20993e-13;4.2903e-13;0;0.115787
0.0006;3.11154e-08;3.11154e-16;5.68683e-13;5.76337e-13;0;0.12037
0.00065;3.76968e-08;3.76968e-16;7.63596e-13;7.694e-13;0;0.118889
0.0007;4.43932e-08;4.43932e-16;9.94903e-13;9.99567e-13;0;0.120254
0.00075;5.21182e-08;5.21182e-16;1.256e-12;1.27462e-12;0;0.120129
0.0008;6.06841e-08;6.06841e-16;1.54316e-12;1.59563e-12;0;0.118266
0.00085;6.93346e-08;6.93346e-16;1.93137e-12;1.97048e-12;0;0.119784
0.0009;7.84777e-08;7.84777e-16;2.35161e-12;2.41649e-12;0;0.118614
0.00095;8.97028e-08;8.97028e-16;2.82485e-12;2.92209e-12;0;0.118286
