time;log(res_p);log(res_rho);log(res_vx);log(res_vy);log(res_vz);elapsed_time(s)
0;-inf;-inf;-inf;-inf;-inf;0.157437
5e-05;-22.2482;-40.6688;-36.4749;-36.2723;-inf;0.122341
0.0001;-20.8825;-39.3032;-34.2672;-34.0983;-inf;0.130105
0.00015;-20.0849;-38.5056;-32.9996;-32.9532;-inf;0.124678
0.0002;-19.5175;-37.9381;-32.0006;-32.0276;-inf;0.125022
0.00025;-19.0782;-37.4989;-31.2626;-31.2492;-inf;0.125124
0.0003;-18.715;-37.1357;-30.6372;-30.6363;-inf;0.124435
0.00035;-18.4082;-36.8289;-30.0997;-30.1015;-inf;0.124039
0.0004;-18.1393;-36.56;-29.6307;-29.6078;-inf;0.123691
0.00045;-17.8982;-36.3189;-29.2127;-29.1812;-inf;0.124781
0.0005;-17.6795;-36.1001;-28.8267;-28.8043;-inf;0.123227
0.00055;-17.4767;-35.8974;-28.4943;-28.4674;-inf;0.140174
0.0006;-17.2869;-35.7076;-28.1912;-28.1608;-inf;0.116253
0.00065;-17.1131;-35.5338;-27.9089;-27.8756;-inf;0.268313
0.0007;-16.9468;-35.3674;-27.6474;-27.6087;-inf;0.142838
0.00075;-16.792;-35.2127;-27.4035;-27.3662;-inf;0.136514
0.0008;-16.6387;-35.0594;-27.1693;-27.1379;-inf;0.122647
0.00085;-16.4977;-34.9184;-26.958;-26.922;-inf;0.142276
0.0009;-16.3693;-34.79;-26.7551;-26.7167;-inf;0.18407
0.00095;-16.2415;-34.6622;-26.5739;-26.5212;-inf;0.307832
0.001;-21.2699;-39.6906;-31.1338;-31.1111;-inf;0.16536
0.00105;-19.7498;-38.1705;-29.8029;-29.7236;-inf;0.120487
0.0011;-19.1547;-37.5754;-28.9716;-28.9092;-inf;0.119
0.00115;-18.6498;-37.0705;-28.3943;-28.3025;-inf;0.122096
0.0012;-18.2157;-36.6364;-27.9048;-27.817;-inf;0.119897
0.00125;-17.8415;-36.2621;-27.5099;-27.4306;-inf;0.124193
0.0013;-17.4858;-35.9064;-27.1751;-27.0908;-inf;0.120485
0.00135;-17.2264;-35.6471;-26.8853;-26.7939;-inf;0.122222
0.0014;-16.9772;-35.3979;-26.622;-26.5334;-inf;0.119963
0.00145;-16.7467;-35.1674;-26.3809;-26.2966;-inf;0.144384
0.0015;-16.5405;-34.9612;-26.1536;-26.078;-inf;0.130757
0.00155;-16.3462;-34.7669;-25.9507;-25.8855;-inf;0.12072
0.0016;-16.1556;-34.5762;-25.7724;-25.705;-inf;0.123952
0.00165;-16.0036;-34.4243;-25.6042;-25.5345;-inf;0.118458
0.0017;-15.8579;-34.2786;-25.4458;-25.381;-inf;0.956704
0.00175;-15.7191;-34.1398;-25.2858;-25.2354;-inf;0.138175
0.0018;-15.5828;-34.0034;-25.1438;-25.0963;-inf;0.144427
0.00185;-15.4532;-33.8739;-25.011;-24.9626;-inf;0.120802
0.0019;-15.3425;-33.7632;-24.8853;-24.84;-inf;0.121531
0.00195;-15.2211;-33.6418;-24.7688;-24.724;-inf;0.126328
0.002;-20.8127;-39.2334;-30.0844;-30.182;-inf;0.164531
0.00205;-19.4402;-37.8608;-28.8804;-28.8429;-inf;0.132711
0.0021;-18.6594;-37.08;-28.1193;-28.1872;-inf;0.127955
0.00215;-18.0687;-36.4894;-27.5245;-27.5842;-inf;0.124706
0.0022;-17.6036;-36.0243;-27.07;-27.1333;-inf;0.122881
0.00225;-17.2212;-35.6419;-26.6762;-26.7902;-inf;0.120954
0.0023;-16.9813;-35.402;-26.3775;-26.4822;-inf;0.11972
0.00235;-16.7402;-35.1609;-26.1194;-26.2186;-inf;0.139153
0.0024;-16.5047;-34.9254;-25.8703;-25.9884;-inf;0.155231
0.00245;-16.282;-34.7026;-25.6482;-25.7732;-inf;0.13995
0.0025;-16.1026;-34.5232;-25.4497;-25.5793;-inf;0.124119
0.00255;-15.927;-34.3477;-25.2668;-25.3943;-inf;0.124417
0.0026;-15.7618;-34.1824;-25.0887;-25.2308;-inf;0.122444
0.00265;-15.5991;-34.0198;-24.9253;-25.0699;-inf;0.12486
0.0027;-15.4472;-33.8679;-24.7921;-24.9355;-inf;0.288546
0.00275;-15.3385;-33.7591;-24.6489;-24.8017;-inf;0.458512
0.0028;-15.2257;-33.6464;-24.5222;-24.6833;-inf;0.142923
0.00285;-15.1102;-33.5309;-24.4042;-24.5647;-inf;0.121058
0.0029;-15.0048;-33.4255;-24.2999;-24.4538;-inf;0.117162
0.00295;-14.8967;-33.3173;-24.1896;-24.339;-inf;0.122345
0.003;-19.3547;-37.7754;-29.3819;-29.8974;-inf;0.152277
0.00305;-18.8584;-37.2791;-28.0236;-28.4031;-inf;0.122506
0.0031;-18.2279;-36.6486;-27.5529;-27.8204;-inf;0.119444
0.00315;-17.5993;-36.02;-27.0966;-27.1716;-inf;0.120576
0.0032;-17.4042;-35.8249;-26.6854;-26.7913;-inf;0.118487
0.00325;-17.0085;-35.4291;-26.3411;-26.3802;-inf;0.12071
0.0033;-16.754;-35.1747;-26.0358;-26.1807;-inf;0.122012
0.00335;-16.5216;-34.9423;-25.7963;-25.9492;-inf;0.135736
0.0034;-16.282;-34.7027;-25.5527;-25.7391;-inf;0.126444
0.00345;-16.0828;-34.5035;-25.3606;-25.5453;-inf;0.122382
0.0035;-15.8659;-34.2866;-25.1829;-25.3255;-inf;0.121187
0.00355;-15.7188;-34.1395;-24.9965;-25.1709;-inf;0.124386
0.0036;-15.5705;-33.9912;-24.8385;-25.0031;-inf;0.122366
0.00365;-15.4301;-33.8508;-24.6979;-24.8624;-inf;0.12392
0.0037;-15.265;-33.6857;-24.5613;-24.7129;-inf;0.130396
0.00375;-15.1442;-33.5649;-24.4402;-24.5912;-inf;0.44078
0.0038;-15.0347;-33.4554;-24.306;-24.4647;-inf;0.121353
0.00385;-14.924;-33.3447;-24.1941;-24.3407;-inf;0.155301
0.0039;-14.8038;-33.2245;-24.0928;-24.2397;-inf;0.138412
0.00395;-14.7027;-33.1233;-23.9919;-24.1362;-inf;0.146235
0.004;-19.5023;-37.9229;-28.683;-28.9031;-inf;0.164031
0.00405;-17.8149;-36.2356;-28.1111;-27.9803;-inf;0.12374
0.0041;-17.4554;-35.8761;-27.5706;-27.4484;-inf;0.123233
0.00415;-16.9136;-35.3343;-27.0338;-26.9689;-inf;0.142776
0.0042;-16.6844;-35.1051;-26.6393;-26.6452;-inf;0.122261
0.00425;-16.5631;-34.9838;-26.3454;-26.3037;-inf;0.123853
0.0043;-16.4474;-34.8681;-25.9951;-26.0443;-inf;0.12313
0.00435;-16.2894;-34.71;-25.7265;-25.7991;-inf;0.122447
0.0044;-16.1448;-34.5655;-25.5454;-25.5724;-inf;0.120081
0.00445;-15.9187;-34.3394;-25.3266;-25.3711;-inf;0.126689
0.0045;-15.7722;-34.1929;-25.1719;-25.169;-inf;0.1329
0.00455;-15.5614;-33.9821;-25.0127;-25.0505;-inf;0.124925
0.0046;-15.4359;-33.8566;-24.8683;-24.9257;-inf;0.13143
0.00465;-15.3064;-33.7271;-24.7189;-24.8245;-inf;0.133837
0.0047;-15.1692;-33.5899;-24.5908;-24.6913;-inf;0.125676
0.00475;-15.0553;-33.4759;-24.4697;-24.589;-inf;0.138448
0.0048;-14.9074;-33.3281;-24.3472;-24.4703;-inf;0.126376
0.00485;-14.8093;-33.23;-24.2302;-24.3553;-inf;0.123023
0.0049;-14.6145;-33.0352;-24.109;-24.2507;-inf;0.130535
0.00495;-14.5515;-32.9722;-24.0021;-24.161;-inf;0.14151
0.005;-18.4132;-36.8339;-28.7199;-28.5341;-inf;0.452339
0.00505;-18.0541;-36.4748;-27.921;-28.1075;-inf;0.122771
0.0051;-17.4268;-35.8475;-27.3587;-27.2408;-inf;0.121154
0.00515;-16.9484;-35.3691;-26.9149;-26.6206;-inf;0.129431
0.0052;-16.9216;-35.3422;-26.5422;-26.2138;-inf;0.12619
0.00525;-16.6699;-35.0906;-26.2979;-26.22;-inf;0.137116
0.0053;-16.3709;-34.7916;-26.0084;-26.0212;-inf;0.130097
0.00535;-16.1018;-34.5224;-25.7947;-25.8483;-inf;0.125173
0.0054;-15.8543;-34.275;-25.5885;-25.6922;-inf;0.143202
0.00545;-15.6661;-34.0867;-25.3418;-25.4878;-inf;0.125415
0.0055;-15.5887;-34.0093;-25.1637;-25.3022;-inf;0.12482
0.00555;-15.4825;-33.9032;-24.9959;-25.1125;-inf;0.125716
0.0056;-15.3267;-33.7474;-24.8758;-25.0059;-inf;0.124301
0.00565;-15.1534;-33.5741;-24.767;-24.8902;-inf;0.124089
0.0057;-15.0216;-33.4422;-24.6546;-24.7752;-inf;0.125242
0.00575;-14.9437;-33.3644;-24.551;-24.6691;-inf;0.126924
0.0058;-14.8487;-33.2693;-24.4422;-24.5732;-inf;0.183303
0.00585;-14.7354;-33.1561;-24.3458;-24.4676;-inf;0.144358
0.0059;-14.6423;-33.0629;-24.2522;-24.3857;-inf;0.132349
0.00595;-14.5738;-32.9945;-24.1483;-24.2747;-inf;0.134996
0.006;-18.2241;-36.6448;-28.2928;-28.4709;-inf;0.157398
0.00605;-17.3027;-35.7234;-27.5025;-27.6473;-inf;0.121933
0.0061;-17.1737;-35.5944;-27.1769;-26.9546;-inf;0.122214
0.00615;-16.8682;-35.2889;-26.8211;-26.597;-inf;0.394869
0.0062;-16.3679;-34.7886;-26.5354;-26.4297;-inf;0.184413
0.00625;-16.2585;-34.6792;-26.1247;-26.1278;-inf;0.136105
0.0063;-16.0098;-34.4305;-25.9606;-26.025;-inf;0.123506
0.00635;-15.9842;-34.4049;-25.7272;-25.8699;-inf;0.245222
0.0064;-15.7402;-34.1609;-25.5075;-25.7067;-inf;0.122406
0.00645;-15.5196;-33.9403;-25.3532;-25.5688;-inf;0.132299
0.0065;-15.4584;-33.8791;-25.2519;-25.3674;-inf;0.370626
0.00655;-15.2953;-33.716;-25.0888;-25.3026;-inf;0.119327
0.0066;-15.1858;-33.6065;-24.9744;-25.1707;-inf;0.116475
0.00665;-15.0667;-33.4874;-24.87;-25.0602;-inf;0.147856
0.0067;-14.913;-33.3337;-24.754;-24.9183;-inf;0.12036
0.00675;-14.7613;-33.182;-24.6273;-24.7807;-inf;0.122094
0.0068;-14.5759;-32.9966;-24.504;-24.671;-inf;0.121837
0.00685;-14.5053;-32.926;-24.4162;-24.5893;-inf;0.121741
0.0069;-14.4267;-32.8474;-24.3161;-24.4855;-inf;0.1205
0.00695;-14.3029;-32.7235;-24.2093;-24.342;-inf;0.122729
0.007;-17.662;-36.0826;-28.2535;-28.3307;-inf;0.15222
0.00705;-16.8482;-35.2689;-27.4928;-27.482;-inf;0.123842
0.0071;-16.4506;-34.8713;-27.0789;-26.9157;-inf;0.15151
0.00715;-15.8012;-34.2218;-26.676;-26.5079;-inf;0.131608
0.0072;-15.796;-34.2167;-26.496;-26.2946;-inf;0.119295
0.00725;-15.8066;-34.2273;-26.271;-26.2564;-inf;0.120434
0.0073;-15.8165;-34.2372;-26.1093;-25.926;-inf;0.124333
0.00735;-15.6384;-34.0591;-25.8739;-25.7851;-inf;0.125932
0.0074;-15.4838;-33.9045;-25.6844;-25.5683;-inf;0.120982
0.00745;-15.3649;-33.7856;-25.492;-25.4322;-inf;0.142376
0.0075;-15.306;-33.7267;-25.3405;-25.3151;-inf;0.119992
0.00755;-15.1846;-33.6053;-25.2312;-25.2594;-inf;0.122208
0.0076;-15.0614;-33.4821;-25.1038;-25.1242;-inf;0.122428
0.00765;-14.8677;-33.2884;-24.9931;-25.0342;-inf;0.124404
0.0077;-14.7485;-33.1692;-24.8764;-24.9094;-inf;0.122545
0.00775;-14.609;-33.0297;-24.7502;-24.7697;-inf;0.123419
0.0078;-14.4964;-32.917;-24.6427;-24.6606;-inf;0.120969
0.00785;-14.3861;-32.8067;-24.5366;-24.5492;-inf;0.125601
0.0079;-14.3214;-32.7421;-24.4342;-24.4716;-inf;0.123707
0.00795;-14.2658;-32.6864;-24.3644;-24.3783;-inf;0.122745
0.008;-16.9275;-35.3482;-28.0902;-28.0718;-inf;0.155733
0.00805;-16.9744;-35.3951;-27.5456;-27.5592;-inf;0.123184
0.0081;-16.3635;-34.7842;-27.1976;-26.9157;-inf;0.123764
0.00815;-16.2386;-34.6592;-26.7935;-26.5334;-inf;0.122075
0.0082;-16.1409;-34.5616;-26.4798;-26.1887;-inf;0.127982
0.00825;-15.9951;-34.4158;-26.1644;-25.9016;-inf;0.138892
0.0083;-15.8332;-34.2538;-25.9561;-25.7448;-inf;0.125433
0.00835;-15.5626;-33.9833;-25.7658;-25.5676;-inf;0.12343
0.0084;-15.4026;-33.8232;-25.5577;-25.4759;-inf;0.122832
0.00845;-15.215;-33.6356;-25.4221;-25.3093;-inf;0.123983
0.0085;-15.0297;-33.4503;-25.2804;-25.1358;-inf;0.123629
0.00855;-14.9232;-33.3438;-25.1314;-25.0904;-inf;0.123076
0.0086;-14.7981;-33.2188;-24.9984;-24.9141;-inf;0.125308
0.00865;-14.6607;-33.0814;-24.874;-24.8138;-inf;0.137343
0.0087;-14.5186;-32.9392;-24.7761;-24.6858;-inf;0.143413
0.00875;-14.4151;-32.8358;-24.6441;-24.5702;-inf;0.123012
0.0088;-14.319;-32.7397;-24.5244;-24.4536;-inf;0.121347
0.00885;-14.226;-32.6467;-24.4076;-24.3866;-inf;0.1193
0.0089;-14.1169;-32.5376;-24.2718;-24.3112;-inf;0.118884
0.00895;-14.0149;-32.4356;-24.1691;-24.2149;-inf;0.119833
0.009;-17.9901;-36.4107;-28.6675;-27.5901;-inf;0.401191
0.00905;-17.2688;-35.6895;-27.4056;-26.9043;-inf;0.119905
0.0091;-16.5406;-34.9613;-26.851;-26.7433;-inf;0.120497
0.00915;-16.2197;-34.6403;-26.4685;-26.4377;-inf;0.118939
0.0092;-15.8902;-34.3109;-26.2093;-26.1349;-inf;0.12153
0.00925;-15.6648;-34.0855;-25.8991;-25.8084;-inf;0.119194
0.0093;-15.5046;-33.9253;-25.6664;-25.5912;-inf;0.120752
0.00935;-15.3084;-33.7291;-25.4468;-25.4876;-inf;0.120059
0.0094;-15.1307;-33.5514;-25.233;-25.3394;-inf;0.125252
0.00945;-14.9479;-33.3686;-25.0138;-25.195;-inf;0.122061
0.0095;-14.8227;-33.2434;-24.8858;-25.0198;-inf;0.121354
0.00955;-14.7382;-33.1589;-24.7414;-24.888;-inf;0.119327
0.0096;-14.6145;-33.0351;-24.606;-24.7762;-inf;0.121714
0.00965;-14.4726;-32.8932;-24.4743;-24.6259;-inf;0.121652
0.0097;-14.346;-32.7667;-24.346;-24.4888;-inf;0.12442
0.00975;-14.2479;-32.6686;-24.2202;-24.3604;-inf;0.139533
0.0098;-14.1362;-32.5569;-24.1072;-24.2503;-inf;0.120838
0.00985;-14.0069;-32.4276;-23.9918;-24.1598;-inf;0.122554
0.0099;-13.8986;-32.3193;-23.8865;-24.053;-inf;0.121962
0.00995;-13.826;-32.2467;-23.7801;-23.944;-inf;0.120957
0.01;-17.6073;-36.028;-28.0741;-27.7378;-inf;0.155483
0.01005;-16.8359;-35.2565;-27.1965;-27.0057;-inf;0.119136
0.0101;-16.3756;-34.7963;-26.7086;-26.7019;-inf;0.120825
0.01015;-16.1362;-34.5568;-26.3238;-26.3165;-inf;0.118562
0.0102;-15.9837;-34.4044;-25.9815;-26.1412;-inf;0.1202
0.01025;-15.6766;-34.0973;-25.7566;-25.8535;-inf;0.121627
0.0103;-15.4304;-33.8511;-25.4782;-25.5639;-inf;0.121778
0.01035;-15.2426;-33.6633;-25.2465;-25.3858;-inf;0.120571
0.0104;-15.0546;-33.4753;-25.0217;-25.1725;-inf;0.121896
0.01045;-14.8735;-33.2942;-24.8325;-24.9763;-inf;0.11509
0.0105;-14.6847;-33.1054;-24.6606;-24.7505;-inf;0.122672
0.01055;-14.5553;-32.976;-24.4942;-24.6435;-inf;0.144693
0.0106;-14.4073;-32.828;-24.3451;-24.491;-inf;0.117608
0.01065;-14.2843;-32.7049;-24.1906;-24.3615;-inf;0.120696
0.0107;-14.1554;-32.5761;-24.0534;-24.2264;-inf;0.117246
0.01075;-14.027;-32.4477;-23.9243;-24.1082;-inf;0.11613
0.0108;-13.8975;-32.3182;-23.8006;-23.9881;-inf;0.122378
0.01085;-13.8129;-32.2336;-23.6828;-23.8706;-inf;0.117015
0.0109;-13.7092;-32.1299;-23.5694;-23.7624;-inf;0.119613
0.01095;-13.6262;-32.0469;-23.4712;-23.6567;-inf;0.124122
0.011;-18.0264;-36.4471;-28.0784;-28.0186;-inf;1.19644
0.01105;-16.8682;-35.2888;-26.8875;-26.8261;-inf;1.07503
0.0111;-16.4502;-34.8709;-26.3853;-26.4919;-inf;0.23002
0.01115;-16.0898;-34.5105;-25.9815;-26.141;-inf;0.156055
0.0112;-15.793;-34.2137;-25.6483;-25.7895;-inf;0.124599
0.01125;-15.5833;-34.004;-25.4183;-25.5216;-inf;0.110402
0.0113;-15.3531;-33.7737;-25.194;-25.2693;-inf;0.133386
0.01135;-15.1264;-33.5471;-24.9748;-25.073;-inf;0.116839
0.0114;-14.8888;-33.3095;-24.7774;-24.8874;-inf;0.121895
0.01145;-14.7271;-33.1478;-24.5972;-24.7175;-inf;0.120203
0.0115;-14.5687;-32.9893;-24.4166;-24.5668;-inf;0.12085
0.01155;-14.4151;-32.8358;-24.2551;-24.4091;-inf;0.119135
0.0116;-14.2743;-32.695;-24.0952;-24.2503;-inf;0.117412
0.01165;-14.1616;-32.5823;-23.9512;-24.0988;-inf;0.11884
0.0117;-14.0196;-32.4403;-23.8168;-23.9715;-inf;0.12216
0.01175;-13.9155;-32.3362;-23.692;-23.844;-inf;0.120856
0.0118;-13.8042;-32.2249;-23.5674;-23.7201;-inf;0.120874
0.01185;-13.6945;-32.1152;-23.4584;-23.6144;-inf;0.174377
0.0119;-13.595;-32.0157;-23.3604;-23.5081;-inf;0.217936
0.01195;-13.5031;-31.9237;-23.2549;-23.4063;-inf;0.141843
0.012;-17.7027;-36.1234;-28.1824;-28.0761;-inf;0.150366
0.01205;-17.1072;-35.5279;-27.0819;-27.2781;-inf;0.241483
0.0121;-16.6613;-35.082;-26.4636;-26.5652;-inf;0.118482
0.01215;-16.1301;-34.5508;-25.9795;-26.1591;-inf;0.123623
0.0122;-15.8269;-34.2476;-25.6808;-25.7093;-inf;0.119603
0.01225;-15.498;-33.9187;-25.3605;-25.4086;-inf;0.121489
0.0123;-15.2737;-33.6943;-25.1089;-25.122;-inf;0.118375
0.01235;-15.0495;-33.4702;-24.8233;-24.8858;-inf;0.118039
0.0124;-14.8604;-33.281;-24.6243;-24.6593;-inf;0.122602
0.01245;-14.6753;-33.096;-24.4023;-24.476;-inf;0.12305
0.0125;-14.4895;-32.9102;-24.2395;-24.3113;-inf;0.121222
0.01255;-14.3427;-32.7633;-24.0759;-24.1785;-inf;0.118625
0.0126;-14.1966;-32.6173;-23.9138;-24.0475;-inf;0.118234
0.01265;-14.0725;-32.4931;-23.7921;-23.9256;-inf;0.482955
0.0127;-13.93;-32.3506;-23.6621;-23.78;-inf;0.126111
0.01275;-13.8071;-32.2278;-23.5351;-23.6555;-inf;0.121495
0.0128;-13.6906;-32.1113;-23.4126;-23.5389;-inf;0.123473
0.01285;-13.5778;-31.9985;-23.3071;-23.4237;-inf;0.121186
0.0129;-13.4748;-31.8954;-23.2051;-23.3195;-inf;0.123007
0.01295;-13.3827;-31.8034;-23.1011;-23.2166;-inf;0.123617
0.013;-17.6758;-36.0965;-27.719;-27.6598;-inf;0.158532
0.01305;-16.9984;-35.419;-26.7632;-27.0329;-inf;0.127659
0.0131;-16.4886;-34.9093;-26.3045;-26.392;-inf;0.121891
0.01315;-16.0642;-34.4849;-25.8918;-25.8925;-inf;0.121117
0.0132;-15.7729;-34.1935;-25.542;-25.5863;-inf;0.121688
0.01325;-15.4994;-33.92;-25.241;-25.3275;-inf;0.122721
0.0133;-15.2686;-33.6892;-24.9498;-25.0264;-inf;0.121685
0.01335;-15.0316;-33.4523;-24.687;-24.8313;-inf;0.121602
0.0134;-14.833;-33.2537;-24.5053;-24.6275;-inf;0.122094
0.01345;-14.6572;-33.0779;-24.2909;-24.4542;-inf;0.406172
0.0135;-14.4847;-32.9054;-24.1276;-24.2813;-inf;0.33155
0.01355;-14.3196;-32.7403;-23.9712;-24.117;-inf;0.123996
0.0136;-14.1761;-32.5968;-23.8441;-23.9706;-inf;0.122243
0.01365;-14.0513;-32.472;-23.7124;-23.8318;-inf;0.124134
0.0137;-13.9234;-32.3441;-23.5883;-23.6919;-inf;0.31816
0.01375;-13.8023;-32.223;-23.47;-23.5767;-inf;0.118881
0.0138;-13.6832;-32.1039;-23.3522;-23.46;-inf;0.122031
0.01385;-13.5763;-31.997;-23.2465;-23.3495;-inf;0.125183
0.0139;-13.4694;-31.8901;-23.1466;-23.2528;-inf;0.120135
0.01395;-13.3698;-31.7905;-23.0462;-23.1579;-inf;0.123334
0.014;-17.6919;-36.1126;-27.5556;-27.6738;-inf;0.178647
0.01405;-17.0554;-35.476;-26.7143;-26.8183;-inf;0.161888
0.0141;-16.5504;-34.971;-26.3264;-26.2701;-inf;0.352756
0.01415;-16.0869;-34.5076;-25.9042;-25.8615;-inf;0.135376
0.0142;-15.7552;-34.1758;-25.5354;-25.5832;-inf;0.126661
0.01425;-15.4662;-33.8869;-25.2347;-25.2826;-inf;0.122326
0.0143;-15.2;-33.6207;-25.0044;-25.0619;-inf;0.139617
0.01435;-14.9697;-33.3904;-24.7641;-24.8373;-inf;0.136415
0.0144;-14.7593;-33.18;-24.4838;-24.6221;-inf;0.122449
0.01445;-14.5688;-32.9895;-24.298;-24.4501;-inf;0.132863
0.0145;-14.3907;-32.8114;-24.1285;-24.2768;-inf;0.128881
0.01455;-14.2385;-32.6592;-24.0072;-24.1459;-inf;0.388789
0.0146;-14.0981;-32.5187;-23.8644;-24.0077;-inf;0.128925
0.01465;-13.9731;-32.3938;-23.7172;-23.872;-inf;0.129198
0.0147;-13.8508;-32.2715;-23.5778;-23.7465;-inf;0.12174
0.01475;-13.7278;-32.1485;-23.4659;-23.6104;-inf;0.138602
0.0148;-13.6145;-32.0352;-23.3613;-23.5065;-inf;0.135499
0.01485;-13.5051;-31.9258;-23.2559;-23.3943;-inf;0.13139
0.0149;-13.3981;-31.8188;-23.1567;-23.2982;-inf;0.123917
0.01495;-13.3039;-31.7246;-23.0665;-23.1998;-inf;0.122838
0.015;-17.7526;-36.1733;-27.5819;-27.442;-inf;0.155908
0.01505;-17.0222;-35.4429;-26.593;-26.6962;-inf;0.121442
0.0151;-16.5222;-34.9429;-26.1479;-26.2657;-inf;0.12676
0.01515;-16.0567;-34.4773;-25.8664;-25.907;-inf;0.268817
0.0152;-15.7422;-34.1629;-25.5072;-25.6041;-inf;0.151103
0.01525;-15.4378;-33.8585;-25.2545;-25.3452;-inf;0.158441
0.0153;-15.1982;-33.6189;-25.0363;-25.0707;-inf;0.134198
0.01535;-14.9546;-33.3753;-24.7794;-24.8727;-inf;0.125394
0.0154;-14.7448;-33.1654;-24.5883;-24.6583;-inf;0.152274
0.01545;-14.5822;-33.0029;-24.3846;-24.4839;-inf;0.265421
